alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
0.000,-10.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-9.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-9.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,-0.000000,0.000000,22.3520,0.0000
0.000,-8.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-8.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-7.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-7.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-6.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-6.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-5.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-5.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-4.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,-0.000000,0.000000,22.3520,0.0000
0.000,-4.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-3.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-3.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-2.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,-0.000000,0.000000,22.3520,0.0000
0.000,-2.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,-0.000000,0.000000,22.3520,0.0000
0.000,-1.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,-1.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,-0.000000,0.000000,22.3520,0.0000
0.000,-0.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,0.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,0.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,-0.000000,0.000000,22.3520,0.0000
0.000,1.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,1.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,2.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,2.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,3.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,3.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,4.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,4.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,5.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,5.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,6.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,6.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,7.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,7.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,-0.000000,0.000000,22.3520,0.0000
0.000,8.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,8.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,-0.000000,0.000000,22.3520,0.0000
0.000,9.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,9.500,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
0.000,10.000,0.000000,0.000000,0.006921,0.006921,0.000000,0.000000,0.000000,0.000000,0.000000,22.3520,0.0000
