alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
-10.0,0.0,-0.764463,0.041561,0.013791,0.055351,0.0,0.0,0.291328,0.0,-0.0,22.352,0.1004
-9.5,0.0,-0.73352,0.038421,0.013134,0.051556,0.0,0.0,0.281608,-0.0,-0.0,22.352,0.1013
-9.0,0.0,-0.703193,0.035277,0.012542,0.047819,0.0,0.0,0.271972,0.0,-0.0,22.352,0.1021
-8.5,0.0,-0.672603,0.032243,0.011975,0.044218,0.0,0.0,0.26214,0.0,0.0,22.352,0.103
-8.0,0.0,-0.641171,0.029262,0.011446,0.040708,0.0,0.0,0.251694,0.0,0.0,22.352,0.1038
-7.5,0.0,-0.60797,0.026278,0.010957,0.037235,0.0,0.0,0.240037,0.0,0.0,22.352,0.1045
-7.0,0.0,-0.572133,0.02324,0.010505,0.033745,0.0,0.0,0.226582,0.0,0.0,22.352,0.1049
-6.5,0.0,-0.531689,0.020081,0.010085,0.030166,0.0,0.0,0.210107,0.0,0.0,22.352,0.1047
-6.0,0.0,-0.491161,0.017133,0.009695,0.026829,0.0,0.0,0.193586,0.0,0.0,22.352,0.1044
-5.5,0.0,-0.449011,0.014317,0.009336,0.023653,0.0,0.0,0.176024,0.0,0.0,22.352,0.1037
-5.0,0.0,-0.404321,0.011618,0.009011,0.020629,0.0,0.0,0.156836,0.0,-0.0,22.352,0.1026
-4.5,0.0,-0.359047,0.009172,0.008705,0.017877,0.0,0.0,0.137402,0.0,0.0,22.352,0.1011
-4.0,0.0,-0.314239,0.007032,0.008408,0.01544,0.0,0.0,0.118363,0.0,0.0,22.352,0.0995
-3.5,0.0,-0.270209,0.005207,0.008119,0.013326,0.0,0.0,0.099974,0.0,0.0,22.352,0.0978
-3.0,0.0,-0.226899,0.00368,0.007857,0.011537,0.0,0.0,0.082228,0.0,-0.0,22.352,0.0958
-2.5,0.0,-0.185532,0.002468,0.007608,0.010076,0.0,0.0,0.065928,0.0,0.0,22.352,0.0941
-2.0,0.0,-0.145995,0.001534,0.007378,0.008912,0.0,0.0,0.050981,0.0,-0.0,22.352,0.0927
-1.5,0.0,-0.108033,0.000844,0.00719,0.008034,0.0,0.0,0.037218,0.0,0.0,22.352,0.0918
-1.0,0.0,-0.071407,0.000372,0.007062,0.007434,0.0,0.0,0.024428,0.0,-0.0,22.352,0.101
-0.5,0.0,-0.035336,9.4e-05,0.006973,0.007067,0.0,0.0,0.012048,0.0,0.0,22.352,0.1234
0.0,0.0,0.000599,-0.0,0.00691,0.00691,0.0,-0.0,-0.000202,0.0,0.0,22.352,0.156
0.5,0.0,0.036472,8.9e-05,0.00696,0.007049,0.0,-0.0,-0.012414,0.0,0.0,22.352,0.1089
1.0,0.0,0.072561,0.000363,0.007054,0.007417,0.0,0.0,-0.02481,0.0,0.0,22.352,0.0911
1.5,0.0,0.109236,0.000832,0.007195,0.008027,0.0,-0.0,-0.037648,0.0,0.0,22.352,0.0914
2.0,0.0,0.14718,0.001518,0.007384,0.008902,0.0,-0.0,-0.051409,0.0,0.0,22.352,0.0926
2.5,0.0,0.186769,0.002449,0.007615,0.010065,0.0,-0.0,-0.066396,0.0,0.0,22.352,0.0941
3.0,0.0,0.228224,0.00366,0.007865,0.011525,0.0,-0.0,-0.082764,0.0,0.0,22.352,0.0958
3.5,0.0,0.271554,0.005184,0.008127,0.013312,0.0,-0.0,-0.10053,0.0,0.0,22.352,0.0978
4.0,0.0,0.315549,0.007007,0.008416,0.015423,0.0,-0.0,-0.118908,0.0,0.0,22.352,0.0996
4.5,0.0,0.360468,0.009143,0.008714,0.017857,0.0,-0.0,-0.138006,0.0,0.0,22.352,0.1011
5.0,0.0,0.405677,0.011585,0.00902,0.020605,0.0,-0.0,-0.157412,0.0,0.0,22.352,0.1026
5.5,0.0,0.450378,0.014279,0.009345,0.023624,0.0,-0.0,-0.176603,0.0,0.0,22.352,0.1037
6.0,0.0,0.492337,0.017086,0.009705,0.026791,0.0,-0.0,-0.194057,0.0,0.0,22.352,0.1044
6.5,0.0,0.532893,0.020027,0.010096,0.030124,0.0,-0.0,-0.210589,0.0,0.0,22.352,0.1047
7.0,0.0,0.57312,0.023186,0.010515,0.033701,0.0,-0.0,-0.226965,0.0,0.0,22.352,0.1049
7.5,0.0,0.608992,0.026197,0.01097,0.037167,0.0,-0.0,-0.240389,0.0,0.0,22.352,0.1045
8.0,0.0,0.642069,0.029163,0.011461,0.040624,0.0,-0.0,-0.251957,0.0,0.0,22.352,0.1038
8.5,0.0,0.673466,0.03214,0.01199,0.04413,0.0,-0.0,-0.262383,0.0,0.0,22.352,0.103
9.0,0.0,0.70408,0.035165,0.012559,0.047724,0.0,0.0,-0.27222,0.0,0.0,22.352,0.1021
9.5,0.0,0.734425,0.038303,0.013153,0.051456,0.0,-0.0,-0.28186,0.0,0.0,22.352,0.1013
10.0,0.0,0.764479,0.041542,0.013791,0.055333,0.0,-0.0,-0.291305,0.0,-0.0,22.352,0.1004
10.5,0.0,0.793766,0.04483,0.014554,0.059384,0.0,-0.0,-0.3003,0.0,0.0,22.352,0.0996
11.0,0.0,0.823045,0.048243,0.015333,0.063577,0.0,-0.0,-0.3093,0.0,0.0,22.352,0.0988
11.5,0.0,0.852736,0.051809,0.016117,0.067927,0.0,-0.0,-0.318571,0.0,-0.0,22.352,0.0981
12.0,0.0,0.880739,0.055322,0.017205,0.072528,0.0,-0.0,-0.326957,0.0,0.0,22.352,0.0974
12.5,0.0,0.910682,0.059151,0.018036,0.077187,0.0,-0.0,-0.336475,0.0,0.0,22.352,0.0968
13.0,0.0,0.940189,0.063046,0.018952,0.081998,0.0,-0.0,-0.345845,-0.0,-0.0,22.352,0.0962
13.5,0.0,0.967591,0.06685,0.020224,0.087074,0.0,-0.0,-0.354205,0.0,0.0,22.352,0.0957
14.0,0.0,0.993103,0.070496,0.021844,0.092339,0.0,-0.0,-0.361571,0.0,0.0,22.352,0.095
14.5,0.0,1.019039,0.074269,0.023315,0.097584,0.0,-0.0,-0.369228,-0.0,-0.0,22.352,0.0944
15.0,0.0,1.043617,0.077985,0.024855,0.10284,0.0,-0.0,-0.376284,0.0,-0.0,22.352,0.0938
