alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
-10.0,0.0,-1.614262,0.070434,0.01835,0.088784,0.0,0.0,0.408289,-0.0,-0.0,22.352,0.0815
-9.5,0.0,-1.552906,0.065315,0.017172,0.082487,0.0,0.0,0.395092,-0.0,-0.0,22.352,0.082
-9.0,0.0,-1.491591,0.060248,0.01614,0.076388,0.0,0.0,0.381877,-0.0,-0.0,22.352,0.0826
-8.5,0.0,-1.429608,0.05534,0.015216,0.070557,0.0,0.0,0.36844,-0.0,-0.0,22.352,0.0832
-8.0,0.0,-1.367694,0.050641,0.01433,0.064971,0.0,0.0,0.35498,-0.0,-0.0,22.352,0.0838
-7.5,0.0,-1.305208,0.046106,0.01351,0.059616,0.0,0.0,0.341259,-0.0,-0.0,22.352,0.0845
-7.0,0.0,-1.241391,0.041698,0.012796,0.054494,0.0,0.0,0.327015,-0.0,-0.0,22.352,0.0852
-6.5,0.0,-1.176145,0.037413,0.0122,0.049614,0.0,0.0,0.312212,0.0,0.0,22.352,0.0859
-6.0,0.0,-1.109254,0.033275,0.011712,0.044987,0.0,0.0,0.296795,0.0,0.0,22.352,0.0866
-5.5,0.0,-1.038891,0.029177,0.011308,0.040485,0.0,0.0,0.279981,0.0,0.0,22.352,0.0873
-5.0,0.0,-0.961532,0.024991,0.010984,0.035976,0.0,0.0,0.260425,-0.0,-0.0,22.352,0.0878
-4.5,0.0,-0.877892,0.020844,0.010713,0.031557,0.0,0.0,0.238431,0.0,0.0,22.352,0.0881
-4.0,0.0,-0.790265,0.016928,0.010483,0.027411,0.0,0.0,0.214969,0.0,0.0,22.352,0.0884
-3.5,0.0,-0.697363,0.013196,0.010291,0.023487,0.0,0.0,0.18956,0.0,-0.0,22.352,0.0884
-3.0,0.0,-0.589667,0.009487,0.010118,0.019605,0.0,0.0,0.158676,0.0,0.0,22.352,0.0874
-2.5,0.0,-0.482977,0.006398,0.009959,0.016356,0.0,0.0,0.128406,0.0,0.0,22.352,0.0864
-2.0,0.0,-0.379799,0.003981,0.009806,0.013786,0.0,0.0,0.099753,0.0,0.0,22.352,0.0854
-1.5,0.0,-0.279557,0.002174,0.009667,0.011841,0.0,0.0,0.072451,0.0,0.0,22.352,0.0844
-1.0,0.0,-0.183356,0.000948,0.009565,0.010513,0.0,0.0,0.047036,0.0,0.0,22.352,0.0841
-0.5,0.0,-0.090001,0.000235,0.009495,0.00973,0.0,0.0,0.022916,0.0,0.0,22.352,0.092
0.0,0.0,0.001501,-0.0,0.009459,0.009459,0.0,-0.0,-0.000377,0.0,-0.0,22.352,0.1093
0.5,0.0,0.092827,0.000224,0.009496,0.00972,0.0,-0.0,-0.023626,0.0,0.0,22.352,0.0912
1.0,0.0,0.186264,0.000926,0.009568,0.010494,0.0,-0.0,-0.047784,0.0,0.0,22.352,0.0841
1.5,0.0,0.282712,0.002143,0.009671,0.011815,0.0,-0.0,-0.073304,0.0,0.0,22.352,0.0844
2.0,0.0,0.38309,0.00394,0.00981,0.01375,0.0,-0.0,-0.100661,0.0,0.0,22.352,0.0854
2.5,0.0,0.486355,0.006345,0.009963,0.016308,0.0,-0.0,-0.129342,0.0,0.0,22.352,0.0864
3.0,0.0,0.593209,0.00943,0.010122,0.019552,0.0,-0.0,-0.159697,0.0,0.0,22.352,0.0875
3.5,0.0,0.700037,0.013127,0.010295,0.023422,0.0,-0.0,-0.190305,0.0,0.0,22.352,0.0884
4.0,0.0,0.792771,0.016832,0.010487,0.027318,0.0,-0.0,-0.21564,0.0,0.0,22.352,0.0884
4.5,0.0,0.880128,0.020736,0.010718,0.031454,0.0,-0.0,-0.239017,0.0,-0.0,22.352,0.0881
