alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
-5.5,0.0,0.021194,0.002792,0.027158,0.029949,0.0,-0.0,-0.144993,0.0,-0.0,22.352,2.4007
-5.0,0.0,0.073796,0.003358,0.026517,0.029874,0.0,-0.0,-0.179311,0.0,0.0,22.352,0.9595
-4.5,0.0,0.126854,0.004213,0.025899,0.030112,0.0,-0.0,-0.21401,0.0,0.0,22.352,0.6507
-4.0,0.0,0.179532,0.005344,0.025356,0.030701,0.0,-0.0,-0.248383,0.0,0.0,22.352,0.5175
-3.5,0.0,0.231205,0.006755,0.024882,0.031636,0.0,-0.0,-0.281919,0.0,0.0,22.352,0.4435
-3.0,0.0,0.282879,0.008439,0.024447,0.032886,0.0,-0.0,-0.315455,0.0,0.0,22.352,0.381
-2.5,0.0,0.334657,0.010395,0.024041,0.034436,0.0,-0.0,-0.34902,0.0,0.0,22.352,0.3345
-1.5,0.0,0.429507,0.014398,0.022934,0.037333,0.0,-0.0,-0.407888,0.0,0.0,22.352,0.2854
-1.0,0.0,0.470788,0.016027,0.022759,0.038786,0.0,-0.0,-0.431822,0.0,0.0,22.352,0.2765
-0.5,0.0,0.511369,0.017812,0.022629,0.040441,0.0,-0.0,-0.455097,0.0,0.0,22.352,0.269
0.0,0.0,0.551782,0.019738,0.022506,0.042244,0.0,-0.0,-0.478162,0.0,0.0,22.352,0.2625
0.5,0.0,0.588693,0.021425,0.022369,0.043794,0.0,-0.0,-0.498488,0.0,0.0,22.352,0.257
1.0,0.0,0.621788,0.022696,0.02225,0.044946,0.0,-0.0,-0.515769,0.0,0.0,22.352,0.2524
1.5,0.0,0.656229,0.024332,0.022267,0.046598,0.0,-0.0,-0.534192,0.0,0.0,22.352,0.2481
2.0,0.0,0.696297,0.026712,0.022352,0.049065,0.0,-0.0,-0.556964,0.0,0.0,22.352,0.2441
2.5,0.0,0.737473,0.029456,0.022494,0.051951,0.0,-0.0,-0.580679,0.0,0.0,22.352,0.2407
3.0,0.0,0.777997,0.032306,0.022636,0.054942,0.0,-0.0,-0.603884,0.0,0.0,22.352,0.2375
3.5,0.0,0.818098,0.035252,0.02278,0.058032,0.0,-0.0,-0.626732,0.0,0.0,22.352,0.2345
4.0,0.0,0.858609,0.038442,0.022911,0.061353,0.0,-0.0,-0.649885,0.0,0.0,22.352,0.2318
4.5,0.0,0.899471,0.041865,0.022968,0.064833,0.0,-0.0,-0.673226,0.0,0.0,22.352,0.2294
5.0,0.0,0.940127,0.045457,0.02305,0.068507,0.0,-0.0,-0.696362,0.0,0.0,22.352,0.2271
5.5,0.0,0.980165,0.049171,0.023168,0.07234,0.0,-0.0,-0.718993,0.0,0.0,22.352,0.225
6.0,0.0,1.01963,0.053014,0.023329,0.076343,0.0,-0.0,-0.741193,0.0,0.0,22.352,0.223
6.5,0.0,1.058024,0.056926,0.023579,0.080505,0.0,-0.0,-0.762529,0.0,0.0,22.352,0.2212
7.0,0.0,1.095587,0.060967,0.023866,0.084834,0.0,-0.0,-0.783203,0.0,0.0,22.352,0.2194
7.5,0.0,1.131514,0.06503,0.024296,0.089326,0.0,-0.0,-0.802613,0.0,0.0,22.352,0.2177
8.0,0.0,1.156606,0.067434,0.025046,0.092479,0.0,-0.0,-0.81364,0.0,0.0,22.352,0.2159
8.5,0.0,1.188079,0.071251,0.025859,0.09711,0.0,-0.0,-0.829715,0.0,0.0,22.352,0.2143
9.0,0.0,1.218285,0.075073,0.026738,0.101811,0.0,-0.0,-0.844865,0.0,0.0,22.352,0.2127
9.5,0.0,1.24834,0.079006,0.027487,0.106493,0.0,-0.0,-0.859886,0.0,0.0,22.352,0.2111
10.0,0.0,1.27698,0.082898,0.028296,0.111194,0.0,-0.0,-0.873879,0.0,0.0,22.352,0.2095
10.5,0.0,1.299491,0.085537,0.029702,0.115239,0.0,-0.0,-0.883066,0.0,0.0,22.352,0.2079
11.0,0.0,1.319093,0.087993,0.031351,0.119344,0.0,-0.0,-0.890206,0.0,0.0,22.352,0.2064
11.5,0.0,1.338499,0.090485,0.033143,0.123629,0.0,-0.0,-0.897332,0.0,0.0,22.352,0.2049
12.0,0.0,1.359188,0.093287,0.034944,0.128231,0.0,-0.0,-0.905695,0.0,0.0,22.352,0.2035
12.5,0.0,1.380148,0.096173,0.0368,0.132973,0.0,-0.0,-0.914398,0.0,0.0,22.352,0.2022
13.0,0.0,1.397505,0.09862,0.039124,0.137744,0.0,-0.0,-0.920484,0.0,0.0,22.352,0.2009
13.5,0.0,1.414714,0.10102,0.041512,0.142533,0.0,-0.0,-0.926694,0.0,0.0,22.352,0.1997
