alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
0.000,-10.000,0.336758,0.005418,0.008856,0.014274,0.000004,0.007432,-0.331366,-0.000159,-0.000129,22.3520,0.2888
0.000,-9.500,0.337888,0.005436,0.008848,0.014284,0.000004,0.007086,-0.332767,-0.000151,-0.000123,22.3520,0.2891
0.000,-9.000,0.338962,0.005452,0.008841,0.014293,0.000003,0.006736,-0.334100,-0.000143,-0.000117,22.3520,0.2893
0.000,-8.500,0.339980,0.005468,0.008834,0.014302,0.000003,0.006382,-0.335364,-0.000136,-0.000110,22.3520,0.2895
0.000,-8.000,0.340942,0.005483,0.008827,0.014311,0.000003,0.006025,-0.336560,-0.000128,-0.000104,22.3520,0.2897
0.000,-7.500,0.341847,0.005497,0.008821,0.014318,0.000003,0.005664,-0.337686,-0.000120,-0.000098,22.3520,0.2899
0.000,-7.000,0.342695,0.005511,0.008815,0.014326,0.000003,0.005300,-0.338742,-0.000112,-0.000091,22.3520,0.2901
0.000,-6.500,0.343487,0.005523,0.008810,0.014333,0.000003,0.004934,-0.339727,-0.000105,-0.000085,22.3520,0.2903
0.000,-6.000,0.344220,0.005534,0.008805,0.014339,0.000002,0.004565,-0.340641,-0.000097,-0.000078,22.3520,0.2905
0.000,-5.500,0.344896,0.005545,0.008800,0.014345,0.000002,0.004193,-0.341484,-0.000089,-0.000072,22.3520,0.2906
0.000,-5.000,0.345514,0.005554,0.008796,0.014351,0.000002,0.003819,-0.342255,-0.000081,-0.000066,22.3520,0.2907
0.000,-4.500,0.346074,0.005563,0.008792,0.014355,0.000002,0.003443,-0.342954,-0.000073,-0.000059,22.3520,0.2909
0.000,-4.000,0.346575,0.005571,0.008789,0.014360,0.000002,0.003065,-0.343580,-0.000065,-0.000053,22.3520,0.2910
0.000,-3.500,0.347018,0.005578,0.008786,0.014364,0.000001,0.002686,-0.344133,-0.000057,-0.000046,22.3520,0.2911
0.000,-3.000,0.347401,0.005584,0.008784,0.014367,0.000001,0.002305,-0.344613,-0.000049,-0.000039,22.3520,0.2912
0.000,-2.500,0.347727,0.005589,0.008781,0.014370,0.000001,0.001923,-0.345019,-0.000041,-0.000033,22.3520,0.2912
0.000,-2.000,0.347993,0.005593,0.008780,0.014373,0.000001,0.001539,-0.345352,-0.000033,-0.000026,22.3520,0.2913
0.000,-1.500,0.348200,0.005596,0.008778,0.014374,0.000001,0.001155,-0.345611,-0.000024,-0.000020,22.3520,0.2913
0.000,-1.000,0.348348,0.005598,0.008777,0.014376,0.000000,0.000771,-0.345796,-0.000016,-0.000013,22.3520,0.2914
0.000,-0.500,0.348437,0.005600,0.008777,0.014377,0.000000,0.000385,-0.345907,-0.000008,-0.000007,22.3520,0.2914
0.000,0.000,0.348466,0.005600,0.008777,0.014377,-0.000000,0.000000,-0.345944,0.000000,0.000000,22.3520,0.2914
0.000,0.500,0.348437,0.005600,0.008777,0.014377,-0.000000,-0.000385,-0.345907,0.000008,0.000007,22.3520,0.2914
0.000,1.000,0.348348,0.005598,0.008777,0.014376,-0.000000,-0.000771,-0.345796,0.000016,0.000013,22.3520,0.2914
0.000,1.500,0.348200,0.005596,0.008778,0.014374,-0.000001,-0.001155,-0.345611,0.000024,0.000020,22.3520,0.2913
0.000,2.000,0.347993,0.005593,0.008780,0.014373,-0.000001,-0.001539,-0.345352,0.000033,0.000026,22.3520,0.2913
0.000,2.500,0.347727,0.005589,0.008781,0.014370,-0.000001,-0.001923,-0.345019,0.000041,0.000033,22.3520,0.2912
0.000,3.000,0.347401,0.005584,0.008784,0.014367,-0.000001,-0.002305,-0.344613,0.000049,0.000039,22.3520,0.2912
0.000,3.500,0.347018,0.005578,0.008786,0.014364,-0.000001,-0.002686,-0.344133,0.000057,0.000046,22.3520,0.2911
0.000,4.000,0.346575,0.005571,0.008789,0.014360,-0.000002,-0.003065,-0.343580,0.000065,0.000053,22.3520,0.2910
0.000,4.500,0.346074,0.005563,0.008792,0.014355,-0.000002,-0.003443,-0.342954,0.000073,0.000059,22.3520,0.2909
0.000,5.000,0.345514,0.005554,0.008796,0.014351,-0.000002,-0.003819,-0.342255,0.000081,0.000066,22.3520,0.2907
0.000,5.500,0.344896,0.005545,0.008800,0.014345,-0.000002,-0.004193,-0.341484,0.000089,0.000072,22.3520,0.2906
0.000,6.000,0.344220,0.005534,0.008805,0.014339,-0.000002,-0.004565,-0.340641,0.000097,0.000078,22.3520,0.2905
0.000,6.500,0.343487,0.005523,0.008810,0.014333,-0.000003,-0.004934,-0.339727,0.000105,0.000085,22.3520,0.2903
0.000,7.000,0.342695,0.005511,0.008815,0.014326,-0.000003,-0.005300,-0.338742,0.000112,0.000091,22.3520,0.2901
0.000,7.500,0.341847,0.005497,0.008821,0.014318,-0.000003,-0.005664,-0.337686,0.000120,0.000098,22.3520,0.2899
0.000,8.000,0.340942,0.005483,0.008827,0.014311,-0.000003,-0.006025,-0.336560,0.000128,0.000104,22.3520,0.2897
0.000,8.500,0.339980,0.005468,0.008834,0.014302,-0.000003,-0.006382,-0.335364,0.000136,0.000110,22.3520,0.2895
0.000,9.000,0.338962,0.005452,0.008841,0.014293,-0.000003,-0.006736,-0.334100,0.000143,0.000117,22.3520,0.2893
0.000,9.500,0.337888,0.005436,0.008848,0.014284,-0.000004,-0.007086,-0.332767,0.000151,0.000123,22.3520,0.2891
0.000,10.000,0.336758,0.005418,0.008856,0.014274,-0.000004,-0.007432,-0.331366,0.000159,0.000129,22.3520,0.2888
