alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
-9.0,0.0,-0.390634,0.007376,0.045843,0.053219,0.0,0.0,0.134263,0.0,0.0,22.352,0.1121
-8.5,0.0,-0.356588,0.006167,0.038308,0.044475,0.0,-0.0,0.106952,0.0,-0.0,22.352,0.0997
-8.0,0.0,-0.318666,0.004926,0.02695,0.031875,0.0,0.0,0.074711,0.0,-0.0,22.352,0.0806
-7.5,0.0,-0.277097,0.003746,0.019403,0.023149,0.0,-0.0,0.044553,0.0,-0.0,22.352,0.0583
-7.0,0.0,-0.2328,0.002657,0.017519,0.020175,0.0,0.0,0.017395,0.0,0.0,22.352,0.0322
-6.5,0.0,-0.187184,0.001739,0.015737,0.017476,0.0,0.0,-0.010782,0.0,0.0,22.352,-0.009
-6.0,0.0,-0.138899,0.000983,0.014711,0.015694,0.0,0.0,-0.040828,0.0,-0.0,22.352,-0.0953
-5.5,0.0,-0.091944,0.000455,0.013754,0.014209,0.0,0.0,-0.069564,0.0,0.0,22.352,-0.2922
-5.0,0.0,-0.046957,0.000143,0.01279,0.012933,0.0,0.0,-0.096533,0.0,0.0,22.352,-0.333
-4.5,0.0,-0.000955,2.7e-05,0.012105,0.012132,0.0,0.0,-0.124373,0.0,0.0,22.352,-9.7423
-4.0,0.0,0.04373,0.000106,0.011525,0.01163,0.0,0.0,-0.151033,0.0,-0.0,22.352,1.1863
-3.5,0.0,0.08911,0.00038,0.010975,0.011355,0.0,-0.0,-0.178243,0.0,-0.0,22.352,0.6865
-3.0,0.0,0.133916,0.000845,0.010482,0.011328,0.0,-0.0,-0.205006,0.0,-0.0,22.352,0.4803
-2.5,0.0,0.177731,0.001485,0.01008,0.011564,0.0,-0.0,-0.23093,0.0,-0.0,22.352,0.3997
-2.0,0.0,0.222241,0.002321,0.009672,0.011993,0.0,-0.0,-0.257391,0.0,-0.0,22.352,0.3561
-1.5,0.0,0.265939,0.003328,0.009334,0.012663,0.0,-0.0,-0.283241,0.0,-0.0,22.352,0.3275
-1.0,0.0,0.308916,0.004498,0.009029,0.013527,0.0,-0.0,-0.308499,0.0,-0.0,22.352,0.3076
